epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4211.38,0.76539,0.34291,0.99776,0.98348,0.9896,0.99081,0.85599,0.57335,0.26761,0.9112,5.616e-05,5.616e-05,5.616e-05
42,4309.14,0.74957,0.33314,0.98895,0.9852,0.98924,0.99116,0.85731,0.56962,0.26514,0.91088,5.0814e-05,5.0814e-05,5.0814e-05
43,4407.5,0.74629,0.33119,0.98711,0.98643,0.99046,0.99133,0.85746,0.56993,0.26311,0.90947,4.5468e-05,4.5468e-05,4.5468e-05
44,4505.51,0.74077,0.32645,0.98692,0.98613,0.99109,0.99112,0.85745,0.5677,0.26164,0.9093,4.0122e-05,4.0122e-05,4.0122e-05
45,4603.96,0.73303,0.32333,0.98201,0.98174,0.99067,0.99121,0.85806,0.56634,0.26052,0.91,3.4776e-05,3.4776e-05,3.4776e-05
46,4702.28,0.73125,0.32138,0.98316,0.98581,0.9888,0.9913,0.85944,0.5665,0.25909,0.91,2.943e-05,2.943e-05,2.943e-05
47,4800.85,0.72385,0.31867,0.98028,0.98706,0.98924,0.99164,0.85968,0.56628,0.25937,0.90955,2.4084e-05,2.4084e-05,2.4084e-05
48,4899.55,0.72038,0.3174,0.97621,0.98601,0.98947,0.99133,0.85847,0.56451,0.25827,0.90935,1.8738e-05,1.8738e-05,1.8738e-05
49,4998.85,0.71703,0.31354,0.97555,0.98591,0.98923,0.9914,0.85745,0.56474,0.25754,0.90865,1.3392e-05,1.3392e-05,1.3392e-05
50,5097.28,0.71502,0.31384,0.9762,0.98652,0.98998,0.9915,0.85842,0.56501,0.25658,0.90883,8.046e-06,8.046e-06,8.046e-06
